,date,tweet,cleaned_tweet
452,2021-10-01 15:44:59,Correlation traders truly in disbelief . BTC doesn’t care about your DXY or stocks runs I said BTC to 65k watch it happen lol,Correlation traders truly in disbelief . BTC doesn’t care about your DXY or stocks runs I said BTC to 65k watch it happen lol
453,2021-10-01 15:44:40,#Bitcoin JUST BROKE THE $44k RESISTANCE!! 📈📈  https://t.co/atrZlicNMv, JUST BROKE THE $44k RESISTANCE!! 📈📈  
454,2021-10-01 15:44:34,$BTC I'd say this was close enough  https://t.co/M7jTs2oJ51,$BTC I'd say this was close enough  
455,2021-10-01 15:44:27,If #btc can close above 45k we break the down trend line and form a new higher high! This means uptober is in full effect $ftm $luna 🚀  https://t.co/LAjL8SiPHq,If  can close above 45k we break the down trend line and form a new higher high! This means uptober is in full effect $ftm $luna 🚀  
456,2021-10-01 15:43:48,Looks like Bitcoin ETF Decisions have been delayed until late November/December.,Looks like Bitcoin ETF Decisions have been delayed until late November/December.
457,2021-10-01 15:43:46,This #Bitcoin rally is spot-driven and will continue to be.,This  rally is spot-driven and will continue to be.
458,2021-10-01 15:43:45,$BTC  Don't mind me I'm just mapping out Uptober for the fam 🤝  https://t.co/yD8BLgvEe4,$BTC  Don't mind me I'm just mapping out Uptober for the fam 🤝  
460,2021-10-01 15:43:12,My #Bitcoin alert woke me up A nice surprise! 🎉🥳 PAMP IT 📈,My  alert woke me up A nice surprise! 🎉🥳 PAMP IT 📈
461,2021-10-01 15:43:03,@mira_hurley @McDonalds It's a no-brainer really:   • If @McDonalds care only about money:    Accept $NANO digital money   to save 2-3% on    VISA merchant fees  • If @McDonalds care about the planet:     Accept $NANO digital money    to save multiples of    VISA's energy consumption,  It's a no-brainer really:   • If  care only about money:    Accept $NANO digital money   to save 2-3% on    VISA merchant fees  • If  care about the planet:     Accept $NANO digital money    to save multiples of    VISA's energy consumption
462,2021-10-01 15:43:00,#Bitcoin 🚀, 🚀
463,2021-10-01 15:42:49,#Bitcoin  https://t.co/7hKmIFQTL3,  
466,2021-10-01 15:42:40,"Just like that, equities sell off and $BTC is making new highs on LTF.  Showing immense strength over the past 48 hours.","Just like that, equities sell off and $BTC is making new highs on LTF.  Showing immense strength over the past 48 hours."
467,2021-10-01 15:42:16,Welcome to Q4 #BTC  $BTC #Crypto #Bitcoin,Welcome to Q4   $BTC  
471,2021-10-01 15:41:29,Resistance broken for $BTC at ~$44k  Know where $VET is heading if $BTC performs in Q4.  #altcoins #altcoin #crypto #cryptocurrencies #cryptocurrency #eth #btc,Resistance broken for $BTC at ~$44k  Know where $VET is heading if $BTC performs in Q4.        
474,2021-10-01 15:41:05,"$BTC #Bitcoin   Ripped yday's high and bang. Just closed easy scalp long here.  Now, we are testing 45k. I'll keep an eye out for how BTC reacts at 44.8k. congrats bulls.  https://t.co/V2eihQXPKd","$BTC    Ripped yday's high and bang. Just closed easy scalp long here.  Now, we are testing 45k. I'll keep an eye out for how BTC reacts at 44.8k. congrats bulls.  "
476,2021-10-01 15:40:53,While you were sleeping. #bitcoin  https://t.co/zwQRszpx8q,While you were sleeping.   
479,2021-10-01 15:40:17,"I think I gained almost 1,000 new followers in the last 24 hours. You are all welcome!   In my timeline you can expect mixed #Bitcoin, #Altcoin &amp; #NFT news and some times obliterating annoying CT scammers - vamonos!","I think I gained almost 1,000 new followers in the last 24 hours. You are all welcome!   In my timeline you can expect mixed ,  &amp;  news and some times obliterating annoying CT scammers - vamonos!"
480,2021-10-01 15:40:08,"#Digibyte broke out the falling wedge pattern.  #BTC is breaking out as well. If #BTC behaves, we get our targets in #XRP #XLM #DGB #ETH  https://t.co/5vQjBEOjLi"," broke out the falling wedge pattern.   is breaking out as well. If  behaves, we get our targets in      "
481,2021-10-01 15:40:05,"Dear Bitcoin: Our bags are ready. Sincerely, the $THETA community. Send it!","Dear Bitcoin: Our bags are ready. Sincerely, the $THETA community. Send it!"
482,2021-10-01 15:39:42,"Nice #Bitcoin   Exactly what I was sensing  This is the phase where BTC just keeps creeping up. We've had CME close last week, Q3 close yesterday, all FUD has been absorbed  Slowly (cause can still take some time) and then all of a sudden  It's GO time  https://t.co/VWRRrfJWXV","Nice    Exactly what I was sensing  This is the phase where BTC just keeps creeping up. We've had CME close last week, Q3 close yesterday, all FUD has been absorbed  Slowly (cause can still take some time) and then all of a sudden  It's GO time  "
484,2021-10-01 15:39:38,SEC delays #Bitcoin ETF decisions:   1. Valkyrie XBTO Bitcoin Futures Fund to Dec 8  2. Kryptoin Bitcoin ETF  to Dec 24  3. Global X Bitcoin Trust  Nov 21  4. WisdomTree Bitcoin Trust  to Dec 11   h/t @EtfHearsay,SEC delays  ETF decisions:   1. Valkyrie XBTO Bitcoin Futures Fund to Dec 8  2. Kryptoin Bitcoin ETF  to Dec 24  3. Global X Bitcoin Trust  Nov 21  4. WisdomTree Bitcoin Trust  to Dec 11   h/t 
485,2021-10-01 15:39:17,"#Bitcoin pump, just because it’s Friday.  https://t.co/ymn2EeovN8"," pump, just because it’s Friday.  "
490,2021-10-01 15:38:31,@xplorer_one Holding 5 $QNT will be the same than Holding 5 BTC in few years. I would not call that a micro bag. Congrats 🎆, Holding 5 $QNT will be the same than Holding 5 BTC in few years. I would not call that a micro bag. Congrats 🎆
492,2021-10-01 15:38:26,@CredibleCrypto @anishaly91 I see your $100k and raise you another homie. $btc hahahh. I’m in spam mode.  https://t.co/v3A2gsQip5,  I see your $100k and raise you another homie. $btc hahahh. I’m in spam mode.  
495,2021-10-01 15:37:55,#Bitcoin  Daily close back above and I think we’ll rapidly expand in the next week  https://t.co/PCt5AMLIbn,  Daily close back above and I think we’ll rapidly expand in the next week  
496,2021-10-01 15:37:55,$BTC please break 44.8K 🙏,$BTC please break 44.8K 🙏
498,2021-10-01 15:37:48,Friendly reminder that El Salvador is now vulcano-mining #Bitcoin,Friendly reminder that El Salvador is now vulcano-mining 
501,2021-10-01 15:37:10,Mining #Bitcoin using volcanos.  This is unbelievable.,Mining  using volcanos.  This is unbelievable.
502,2021-10-01 15:36:58,#bitcoin #ethereum #crypto 🚀  https://t.co/LYw02xq2up,   🚀  
510,2021-10-01 15:36:16,The time to buy Bitcoin was 2011. The time to buy ETH was 2016. The time to buy NFTs is now. I don’t get why more people don’t understand this.,The time to buy Bitcoin was 2011. The time to buy ETH was 2016. The time to buy NFTs is now. I don’t get why more people don’t understand this.
511,2021-10-01 15:36:13,"I'm not a TA guy, but #BTC held through major FUD, pessimism and now it's pumping! And ppl still are in Disbelief!  Maybe it's the Disbelief phase then?","I'm not a TA guy, but  held through major FUD, pessimism and now it's pumping! And ppl still are in Disbelief!  Maybe it's the Disbelief phase then?"
512,2021-10-01 15:36:07,FRIDAY ANTHEM 🔊  #Bitcoin  https://t.co/Akst5SlPij,FRIDAY ANTHEM 🔊    
516,2021-10-01 15:35:37,Morning $BTC!!! 🚀🚀🚀  https://t.co/Kq1GeYZvjI,Morning $BTC!!! 🚀🚀🚀  
518,2021-10-01 15:35:21,You see? $BTC up $700 since this post. 🔥,You see? $BTC up $700 since this post. 🔥
521,2021-10-01 15:34:59,Pierced through resistance!!!  #Bitcoin  https://t.co/TINcYyCOQP,Pierced through resistance!!!    
523,2021-10-01 15:34:35,"📈💴$1,614,192 #bitcoin LONGED @$44697.9 [01/10/21 07:34:34] 🏭 bybit | $BTCUSD  🗣️Do you even lift bro? - Peter Brandt’s favourite discovery","📈💴$1,614,192  LONGED @$44697.9 [01/10/21 07:34:34] 🏭 bybit | $BTCUSD  🗣️Do you even lift bro? - Peter Brandt’s favourite discovery"
526,2021-10-01 15:34:18,When #bitcoin is hitting new all time highs all of these purchases under 50k will feel very nice 😎,When  is hitting new all time highs all of these purchases under 50k will feel very nice 😎
527,2021-10-01 15:34:13,"#Bitcoin real test here! If it breaks out, $55k is the target  https://t.co/3iQK3xzJob"," real test here! If it breaks out, $55k is the target  "
528,2021-10-01 15:33:54,@bitcoin_brown 🏔️#EverestCoin is ready to break a leg. Don't miss this opportunity join while it's early. #AxieInfinity  will be left behind once #Everest game is launched. Cool #NFTs are in line and a #NFT marketplace ecosystem in making.  🚀  https://t.co/yFCOSGI16b, 🏔️ is ready to break a leg. Don't miss this opportunity join while it's early.   will be left behind once  game is launched. Cool  are in line and a  marketplace ecosystem in making.  🚀  
530,2021-10-01 15:33:43,"💵$2,129,960 $BTC LONGED @$44741.5 [01/10/21 07:33:43] 🏰Deribit | BTC-PERPETUAL  💬Everything is a lie. - MrVarga_","💵$2,129,960 $BTC LONGED @$44741.5 [01/10/21 07:33:43] 🏰Deribit | BTC-PERPETUAL  💬Everything is a lie. - MrVarga_"
531,2021-10-01 15:33:34,"""Institutions are just beginning to go there, and once that happens, I think it will increase significantly over the years. I’m very bullish."" #bitcoin #cryptocurrency  https://t.co/FItdKwyhUY","""Institutions are just beginning to go there, and once that happens, I think it will increase significantly over the years. I’m very bullish.""    "
533,2021-10-01 15:33:18,This is what bitcoin looks like in my mind  https://t.co/e9TBTAQbpT,This is what bitcoin looks like in my mind  
538,2021-10-01 15:32:29,Seems import #Bitcoin  https://t.co/CT0cY8QDKk,Seems import   
540,2021-10-01 15:32:24,$BTC - Even more bullish momentum going. Longs and spot buys doing really well.  https://t.co/2tqpWUtarz,$BTC - Even more bullish momentum going. Longs and spot buys doing really well.  
541,2021-10-01 15:32:15,"Good morning all, hope you’re having a great day!   #cryptocurrency #bitcoin","Good morning all, hope you’re having a great day!    "
544,2021-10-01 15:31:04,"The irony is that people who started buying #Bitcoin many years ago are still accumulating, while no-coiners can't stop talking about how they ""missed the ship"". lol  https://t.co/C553xfNqVr","The irony is that people who started buying  many years ago are still accumulating, while no-coiners can't stop talking about how they ""missed the ship"". lol  "
547,2021-10-01 15:30:50,🚨 Crypto alert: [#BTC-#USDT] Abnormal Volatility Alert (15m)  https://t.co/QooHGNnR3u,🚨 Crypto alert: [-] Abnormal Volatility Alert (15m)  
548,2021-10-01 15:30:48,#Bitcoin  https://t.co/vHQLA53paI,  
549,2021-10-01 15:30:46,#BTC  4H TF  And here comes the pump. Reaching resistance + 200 EMA.  Flip that area and we will exit that annoying range $BTC  https://t.co/YzvUcSAc6S,  4H TF  And here comes the pump. Reaching resistance + 200 EMA.  Flip that area and we will exit that annoying range $BTC  
551,2021-10-01 15:30:33,"$BTC (Update)  Finally, Bitcoin Bulls Breaking the Crucial Resistance (44.2k) with Huge Volume...🥳  Bitcoin Train is Leaving the Station so Fasten Your Seat Belts 🚞  C'mon Bulls, Send Bitcoin to 48k  #Bitcoin #Crypto  https://t.co/iwuaQlfuPm","$BTC (Update)  Finally, Bitcoin Bulls Breaking the Crucial Resistance (44.2k) with Huge V🥳  Bitcoin Train is Leaving the Station so Fasten Your Seat Belts 🚞  C'mon Bulls, Send Bitcoin to 48k     "
552,2021-10-01 15:30:30,It's October!!!! Let's goooooo!!!!  $BTC $TEL $ETH #cryptocurrency #Bitcoin  https://t.co/tdC7iwXTff,It's October!!!! Let's goooooo!!!!  $BTC $TEL $ETH    
557,2021-10-01 15:30:00,"Dotted green line tagged, triangle invalidated. Looking for a move to at least 47k now. $BTC  https://t.co/fg1WwvcnwB","Dotted green line tagged, triangle invalidated. Looking for a move to at least 47k now. $BTC  "
559,2021-10-01 15:29:58,So how is the feeling guys ?  October 1st and #Bitcoin showed some positivity .  $44600 now  -- Very important to break $45000 and stay above it so we can start to relax a bit ..  What you feel ? What's Next ?,So how is the feeling guys ?  October 1st and  showed some positivity .  $44600 now  -- Very important to break $45000 and stay above it so we can start to relax a bit ..  What you feel ? What's Next ?
560,2021-10-01 15:29:54,Yay everything pump now #BTC  https://t.co/ZKIPRihRQ5,Yay everything pump now   
563,2021-10-01 15:29:27," https://t.co/PeD4ZcAvXs  $BTC, $XLM - Updated  https://t.co/lvSbzSvtxB"," $BTC, $XLM - Updated  "
567,2021-10-01 15:29:02,"Good afternoon, #swissborg community☀️ We have new tokens added to Wealth App💕 I’m so happy😆 Also, #BTC looks doing great at this point!! Hope #CHSB will perform a few times better than #BTC😊  https://t.co/2jfeX5KGO3","Good afternoon,  community☀️ We have new tokens added to Wealth App💕 I’m so happy😆 Also,  looks doing great at this point!! Hope  will perform a few times better than 😊  "
568,2021-10-01 15:29:02,$ES continues to sell off. I think it serves as a leading indicator for #BTC.  Pay attention &amp; manage your risk.,$ES continues to sell off. I think it serves as a leading indicator for .  Pay attention &amp; manage your risk.
572,2021-10-01 15:28:35,$5000 in $Btc To A Random Person Just Follows &amp; Retweets  Best Of Luck...,$5000 in $Btc To A Random Person Just Follows &amp; Retweets  Best Of L
575,2021-10-01 15:28:16,Long from $41.7k price moving towards $45k level which is going to be pivotal.  Break above and successfully retest as support then $48k is the target.  #BTC  https://t.co/rbqHgl3SCp,Long from $41.7k price moving towards $45k level which is going to be pivotal.  Break above and successfully retest as support then $48k is the target.    
576,2021-10-01 15:28:10,"📈💶$6,709,050 $BTC LONGED @$44727.0 [01/10/21 07:28:10] 🏪FTX | BTC-PERP  🗣️Storm is coming! - dreambigtye","📈💶$6,709,050 $BTC LONGED @$44727.0 [01/10/21 07:28:10] 🏪FTX | BTC-PERP  🗣️Storm is coming! - dreambigtye"
578,2021-10-01 15:27:58,Bought the rest of my $BTC at $43.8k. Q4 I'm ready for you,Bought the rest of my $BTC at $43.8k. Q4 I'm ready for you
581,2021-10-01 15:27:38,@TheCryptoDog WAGMI  https://t.co/wymJcVPbs0, WAGMI  
582,2021-10-01 15:27:33,$BTC 12h candle jumping off the 200 EMA.  $RSR to 50 cents!!!  WAGMI   @themoonb0y @nvnjo21 @Jorge_Reserva  @Crypto_Standard @sweetsinner3 @Flamingo_Mafia @Ayeseltpw @ShillMe  https://t.co/sq6vBP6UcB,$BTC 12h candle jumping off the 200 EMA.  $RSR to 50 cents!!!  WAGMI             
583,2021-10-01 15:27:30,Market looks a little bit green 💚 #TRX| #BTT| #WIN | #BTC,Market looks a little bit green 💚 | |  | 
585,2021-10-01 15:27:10,"All markets tanking hard while #BTC appears to be breaking up. If we can keep this up, all eyes will be on BTC soon, would be a nice development going into Q4  https://t.co/W5zdqlN7en","All markets tanking hard while  appears to be breaking up. If we can keep this up, all eyes will be on BTC soon, would be a nice development going into Q4  "
586,2021-10-01 15:27:07,"Saw this about 5 min ago. Good omen for sure, right? RIGHT???   #uptober #crypto #uponly #trading #btc #eth #vra  https://t.co/G0NIZzSTp5","Saw this about 5 min ago. Good omen for sure, right? RIGHT???           "
589,2021-10-01 15:26:51,Scholar II 58 II @mariablessadp 🔥🔥🎮🎮🔥🔥🎮🎮  Retweet Winner🏆✨  #MortalCoreSquad #AxieInfinity  #PlayToEarn  #Play2Earn  $AXS $SLP $ETH $BTC  https://t.co/9Kqfev3nYS,Scholar II 58 II  🔥🔥🎮🎮🔥🔥🎮🎮  Retweet Winner🏆✨         $AXS $SLP $ETH $BTC  
590,2021-10-01 15:26:34,#Bitcoin   Pump it. Half of original long still open.   Will be watching 44.2K for potential add opportunities depending on how price acts around here. Next targets 45.5K and 46.7K.  https://t.co/EnFMPr9vSB,   Pump it. Half of original long still open.   Will be watching 44.2K for potential add opportunities depending on how price acts around here. Next targets 45.5K and 46.7K.  
591,2021-10-01 15:26:31,Closed $BTC position Price ; $44450  Profit 55%   Enjoy  https://t.co/JDBZffnfPb,Closed $BTC position Price ; $44450  Profit 55%   Enjoy  
592,2021-10-01 15:26:20,"🚨 $44.5K 🚨   Had an alert wake me, let’s get $BTC &gt; $45.2K, then smile together…  Night 😴 (going to try and go back to sleep, at least I’ll have sweet dreams)","🚨 $44.5K 🚨   Had an alert wake me, let’s get $BTC &gt; $45.2K, then smile together…  Night 😴 (going to try and go back to sleep, at least I’ll have sweet dreams)"
600,2021-10-01 15:25:41,"I ain't even gonna say nothing this weekend.  I did all my talking about $BTC and $ALTS when I should have.  If you listened, enjoy your gains next month while you ride risk-free and scalp with some of your profits. 🍻","I ain't even gonna say nothing this weekend.  I did all my talking about $BTC and $ALTS when I should have.  If you listened, enjoy your gains next month while you ride risk-free and scalp with some of your profits. 🍻"
601,2021-10-01 15:25:39,SPX down? BTC up  SPX up? BTC up  We are living in the best timeline.,SPX down? BTC up  SPX up? BTC up  We are living in the best timeline.
602,2021-10-01 15:25:37,This is very very interesting and also promising….  A HH or SFP…. Time will tell $BTC  https://t.co/vwo7a4b0Yw,This is very very interesting and also promising….  A HH or SFP…. Time will tell $BTC  
603,2021-10-01 15:25:36,$BTC $dgb Woody Woodpecker is doing it's magic :)  https://t.co/SuCa06BnmC,$BTC $dgb Woody Woodpecker is doing it's magic :)  
606,2021-10-01 15:25:18,this bullrun isn't over until $DOGE hits $1 $BTC hits $150k $ETH hits $27k $ADA &amp; $MATIC hits $10 $XRP $13 -$20 $LTC &amp; $BNB $1000 $LINK $300 $TEL &amp; $VRA hits $1 $VRX $5000  $FEG  $KISHU $LLN #SAFEMOON $ASS $SHIB hits 0.0001$   RT 🔥🔥 SPREAD THE WORD  TG  https://t.co/Ed2ocXLbiX,this bullrun isn't over until $DOGE hits $1 $BTC hits $150k $ETH hits $27k $ADA &amp; $MATIC hits $10 $XRP $13 -$20 $LTC &amp; $BNB $1000 $LINK $300 $TEL &amp; $VRA hits $1 $VRX $5000  $FEG  $KISHU $LLN  $ASS $SHIB hits 0.0001$   RT 🔥🔥 SPREAD THE WORD  TG  
609,2021-10-01 15:24:46,“Billion dollar Bitcoin mining industry resumes in Iran after three-month ban”  #Bitcoin bans never last long 😆   https://t.co/QgMRYqaImD,“Billion dollar Bitcoin mining industry resumes in Iran after three-month ban”   bans never last long 😆   
610,2021-10-01 15:24:40,$COPE  No clear direction on many coins right now...  A test of patience at this point.  Don't force trades. Don't panic sell. Let $BTC lead the way!  https://t.co/FZvc2QEZFD,$COPE  No clear direction on many coins right 't force trades. Don't panic sell. Let $BTC lead the way!  
615,2021-10-01 15:24:10,LONG EVERYTHING 🚀🔥  #Crypto #Bitcoin #Ethereum,LONG EVERYTHING 🚀🔥    
617,2021-10-01 15:24:02,"bears feeling some pressure now, bulls starting to feel fomo, so many emotions to control...   $BTC #CTM 8 HR  https://t.co/B8lPiPfygs","bears feeling some pressure now, bulls starting to feel fomo, so many emotions to $BTC  8 HR  "
620,2021-10-01 15:23:53,1st of October. #BTC = Bullish🧑🏼‍🚀🚀.,1st of October.  = Bullish🧑🏼‍🚀🚀.
625,2021-10-01 15:22:29,#bitcoin 44.500 🥳, 44.500 🥳
626,2021-10-01 15:22:13,$BTC SEND IT  https://t.co/c4qkpE8hTI,$BTC SEND IT  
627,2021-10-01 15:22:11,"A week since the China FUD, bears were dancing on the table, yelling victory and posting 20k charts. Meanwhile, #BTC almost fully retraced that over stretched panic selling and you are still bearish?   NGMI","A week since the China FUD, bears were dancing on the table, yelling victory and posting 20k charts. Meanwhile,  almost fully retraced that over stretched panic selling and you are still bearish?   NGMI"
630,2021-10-01 15:21:21,"A politician talking sense?  BRB, going for a spin on my flying pig.  #Bitcoin    https://t.co/eSy2SvtieI","A politician talking sense?  BRB, going for a spin on my flying pig.      "
632,2021-10-01 15:20:39,BTC resistant around 44300  https://t.co/KZvN1tjz4F,BTC resistant around 44300  
633,2021-10-01 15:20:28,Ste_Cha_FEG: RT @TheShibLord: $iban still rocketing since my last video   loving it 🤑😍  still so so early  cant sell wont sell  #Fegex #ibancoin @iBANCOIN   📈 https://t.co/FuGxJIPH8M  #FEGcharts #BinanceSmartChain #bitcoin #60SecondShillingShowdown  https://t.co/gH8GJa5BEh,Ste_Cha_FEG: RT : $iban still rocketing since my last video   loving it 🤑😍  still so so early  cant sell wont sell       📈 ://
634,2021-10-01 15:20:14,Just leaving this here... Happy Q4! #bitcoin #crypto #btc $btc  https://t.co/8jIKzjqR9w,Just leaving this !    $btc  
637,2021-10-01 15:19:39,JUST IN: $BTC SIGNED AGREEMENT ON UPTOBER - SAUSAGES,JUST IN: $BTC SIGNED AGREEMENT ON UPTOBER - SAUSAGES
639,2021-10-01 15:19:14,Goooood Morning #Bitcoin! NEXT $BTC price is.. other                38k                  50k   👇🏼                 👇🏼                  👇🏼,Goooood Morning ! NEXT $BTC price is.. other                38k                  50k   👇🏼                 👇🏼                  👇🏼
640,2021-10-01 15:19:00,$BTC 👀   Has to flip this $44k into support.,$BTC 👀   Has to flip this $44k into support.
641,2021-10-01 15:18:49,#Bitcoin 🚀, 🚀
644,2021-10-01 15:18:26,You can see the progress every day. This community presents it to the world on a silver plater.  BNB ➡️ BCH ➡️ LTC ➡️ BTC  Next up ETH and ERC20 tokens. It is pretty clear what the outcome will be here...   Decentralized Finance  $RUNE @THORChain #DeFi  https://t.co/YBL4GyalIk,You can see the progress every day. This community presents it to the world on a silver plater.  BNB ➡️ BCH ➡️ LTC ➡️ BTC  Next up ETH and ERC20 tokens. It is pretty clear what the outcome will be $RUNE    
649,2021-10-01 15:17:27,"Happy new month people 🥳 This month, can we see: $ADA at $3.5 $BTC  at $60k $BNB at $500 $DOGE at $0.45 $EGLD at $350 $ETH at $4k $FEG at $0.000001 $GHC at $0.0000001 $MATIC at $2.5 $SHIB at $0.00001 $XRP at $1.8","Happy new month people 🥳 This month, can we see: $ADA at $3.5 $BTC  at $60k $BNB at $500 $DOGE at $0.45 $EGLD at $350 $ETH at $4k $FEG at $0.000001 $GHC at $0.0000001 $MATIC at $2.5 $SHIB at $0.00001 $XRP at $1.8"
655,2021-10-01 15:16:07,"@tomskiweb Be interesting to see if you get the $37,000 on Oct 2nd. Have to say, if ever there was a moment retail was being tricked into thinking btc could break out higher, this is it."," Be interesting to see if you get the $37,000 on Oct 2nd. Have to say, if ever there was a moment retail was being tricked into thinking btc could break out higher, this is it."
656,2021-10-01 15:15:44,#BNB beautifully pumping against #BTC ⚡️, beautifully pumping against  ⚡️
658,2021-10-01 15:15:20,Just done a 5km run.  TPS was 21.27  Im faster than #Bitcoin,Just done a 5km run.  TPS was 21.27  Im faster than 
661,2021-10-01 15:15:06,"#Bitcoin September ends with continued seasonality bringing -7% monthly returns.   Meanwhile, Q3 has ended with 25% returns, paving the way for Q4 which has historically brought high returns.  https://t.co/pcevN7oDRT"," September ends with continued seasonality bringing -7% monthly returns.   Meanwhile, Q3 has ended with 25% returns, paving the way for Q4 which has historically brought high returns.  "
662,2021-10-01 15:14:52,"#Bitcoin $44,000"," $44,000"
663,2021-10-01 15:14:46,"It doesn't matter what happens in the short-term, #Bitcoin is the future! 🚀","It doesn't matter what happens in the short-term,  is the future! 🚀"
664,2021-10-01 15:14:11,"$BTC (Update)  In 4h timeframe, Bitcoin Bulls testing the Key Trendline Resistance (44k)  If Trendline Resistance got Cleared, Expecting +10% Bullish Wave towards the 48.6k✍️  Send it 🐳  #Bitcoin #Crypto  https://t.co/ZtZJdI5HiA","$BTC (Update)  In 4h timeframe, Bitcoin Bulls testing the Key Trendline Resistance (44k)  If Trendline Resistance got Cleared, Expecting +10% Bullish Wave towards the 48.6k✍️  Send it 🐳     "
665,2021-10-01 15:14:01,@raphschoen Bitcoin against the banks 👀, Bitcoin against the banks 👀
666,2021-10-01 15:13:54,#btc pushing into key resistance will we see that one last dump before the big ass pump!!   Rektember took 1 week to kick in.  Will Roctober be the same?   Who ever said crypto is boring hey! 🤣  #bitcoin 🧐, pushing into key resistance will we see that one last dump before the big ass pump!!   Rektember took 1 week to kick in.  Will Roctober be the same?   Who ever said crypto is boring hey! 🤣   🧐
667,2021-10-01 15:13:45,"Wakey Wakey ☀️ September ended Hello October, Hello 4th Quarter.  #BitcoinAsset #Btachain  https://t.co/qzJehIYkb4","Wakey Wakey ☀️ September ended Hello October, Hello 4th Quarter.     "
668,2021-10-01 15:13:18,Bitcoin redemption arc 🧐🧐🧐🧐,Bitcoin redemption arc 🧐🧐🧐🧐
671,2021-10-01 15:13:08,1/2 Building a #bitcoin farm  https://t.co/cgov4lETC5,1/2 Building a  farm  
675,2021-10-01 15:10:52,$BTC  Here is a Bitcoin count from @elliottwaveintl.  I'll do a Video on it later and tell you how it can all come together and complete what happens after that last Wave 4  https://t.co/DEr4E07ZQp,$BTC  Here is a Bitcoin count from .  I'll do a Video on it later and tell you how it can all come together and complete what happens after that last Wave 4  
676,2021-10-01 15:10:35,GM Hamsters! 🐹The monthly pivot levels are here for #Bitcoin! Don't forget to turn them on their accuracy is impeccable 🔥✌️ With R5 sitting at 70K this month...🤫  https://t.co/8LoH3WEwGj,GM Hamsters! 🐹The monthly pivot levels are here for ! Don't forget to turn them on their accuracy is impeccable 🔥✌️ With R5 sitting at 70K this 🤫  
677,2021-10-01 15:10:31,"@nayibbukele 'Vulcano' #Bitcoin mining starting in El Salvador, further enabling sovereignty and funding its electric infrastructure, whilst using 100% renewable energy."," 'Vulcano'  mining starting in El Salvador, further enabling sovereignty and funding its electric infrastructure, whilst using 100% renewable energy."
679,2021-10-01 15:10:22,"📈Market Overview  #BTC price trades above $43K  The Top-10 are traded in green zone: $XRP +0.8%, $BNB +2.2%, $SOL +1.3%  Market cap:  $2.01T (+1.19%)  $BTC dominance:  41.04% (-0.49%) Fear &amp; Greed Index:  27 (Extreme Fear)  Full Report👉 https://t.co/UCKB1qgiCQ  https://t.co/n8YdScTIpD","📈Market Overview   price trades above $43K  The Top-10 are traded in green zone: $XRP +0.8%, $BNB +2.2%, $SOL +1.3%  Market cap:  $2.01T (+1.19%)  $BTC dominance:  41.04% (-0.49%) Fear &amp; Greed Index:  27 (Extreme Fear)  Full Report👉 ://"
681,2021-10-01 15:10:05,#IOTAUSD H1.. TP-1✅  #BTC #Bitcoin $iota  https://t.co/JPLn84IgT5, H1.. TP-1✅    $iota  
685,2021-10-01 15:08:47,@nayibbukele How do I purchase volcano mined #Bitcoin ? I could pay extra 10% premium for it., How do I purchase volcano mined  ? I could pay extra 10% premium for it.
686,2021-10-01 15:08:41,"As #Bitcoin challenges the $44,000 level once again, watch out for this bullish pattern on smaller timeframes.  Read more: 👇  https://t.co/Bt8PKAuXzE","As  challenges the $44,000 level once again, watch out for this bullish pattern on smaller timeframes.  Read more: 👇  "
688,2021-10-01 15:08:21,Q4 will be the most interesting #Bitcoin quarter for this year !,Q4 will be the most interesting  quarter for this year !
689,2021-10-01 15:08:19,"$BTC   Reclaiming $44,350 will make me more comfortable of this being the bottom.  Still not out of this downtrend yet.  https://t.co/XhQEnvzIfi","$BTC   Reclaiming $44,350 will make me more comfortable of this being the bottom.  Still not out of this downtrend yet.  "
690,2021-10-01 15:07:43,"It’s a good day, because I stacked some #SATS today!  #Bitcoin makes me happier.🙏","It’s a good day, because I stacked some  today!   makes me happier.🙏"
692,2021-10-01 15:07:21,"@nayibbukele I love the tech, the premise and vision of Bitcoin. But most of all, a president setting out to look after his people and actually doing what he said is incredible! Congratulations and setting an example to the world, historical."," I love the tech, the premise and vision of Bitcoin. But most of all, a president setting out to look after his people and actually doing what he said is incredible! Congratulations and setting an example to the world, historical."
693,2021-10-01 15:07:19,Are you ready for Q4? Bitcoin!  https://t.co/pUU0OxynGM via @YouTube,Are you ready for Q4? Bitcoin!  
694,2021-10-01 15:07:09,"@CryptoMichNL Your chart shows 2021 is already completely different to 2017. Be careful with your assumptions. We all want BTC to go up, but nothing is for sure."," Your chart shows 2021 is already completely different to 2017. Be careful with your assumptions. We all want BTC to go up, but nothing is for sure."
