,date,tweet,cleaned_tweet,sentiment
481,2021-10-01 15:40:05,"Dear Bitcoin: Our bags are ready. Sincerely, the $THETA community. Send it!","Dear Bitcoin: Our bags are ready. Sincerely, the $THETA community. Send it!",0.9984080195426941
482,2021-10-01 15:39:42,"Nice #Bitcoin   Exactly what I was sensing  This is the phase where BTC just keeps creeping up. We've had CME close last week, Q3 close yesterday, all FUD has been absorbed  Slowly (cause can still take some time) and then all of a sudden  It's GO time  https://t.co/VWRRrfJWXV","Nice    Exactly what I was sensing  This is the phase where BTC just keeps creeping up. We've had CME close last week, Q3 close yesterday, all FUD has been absorbed  Slowly (cause can still take some time) and then all of a sudden  It's GO time  ",0.00681149959564209
484,2021-10-01 15:39:38,SEC delays #Bitcoin ETF decisions:   1. Valkyrie XBTO Bitcoin Futures Fund to Dec 8  2. Kryptoin Bitcoin ETF  to Dec 24  3. Global X Bitcoin Trust  Nov 21  4. WisdomTree Bitcoin Trust  to Dec 11   h/t @EtfHearsay,SEC delays  ETF decisions:   1. Valkyrie XBTO Bitcoin Futures Fund to Dec 8  2. Kryptoin Bitcoin ETF  to Dec 24  3. Global X Bitcoin Trust  Nov 21  4. WisdomTree Bitcoin Trust  to Dec 11   h/t ,0.009880542755126953
485,2021-10-01 15:39:17,"#Bitcoin pump, just because it’s Friday.  https://t.co/ymn2EeovN8"," pump, just because it’s Friday.  ",0.003994643688201904
490,2021-10-01 15:38:31,@xplorer_one Holding 5 $QNT will be the same than Holding 5 BTC in few years. I would not call that a micro bag. Congrats 🎆, Holding 5 $QNT will be the same than Holding 5 BTC in few years. I would not call that a micro bag. Congrats 🎆,0.008493006229400635
492,2021-10-01 15:38:26,@CredibleCrypto @anishaly91 I see your $100k and raise you another homie. $btc hahahh. I’m in spam mode.  https://t.co/v3A2gsQip5,  I see your $100k and raise you another homie. $btc hahahh. I’m in spam mode.  ,0.01688241958618164
495,2021-10-01 15:37:55,#Bitcoin  Daily close back above and I think we’ll rapidly expand in the next week  https://t.co/PCt5AMLIbn,  Daily close back above and I think we’ll rapidly expand in the next week  ,0.665603518486023
496,2021-10-01 15:37:55,$BTC please break 44.8K 🙏,$BTC please break 44.8K 🙏,0.013354480266571045
498,2021-10-01 15:37:48,Friendly reminder that El Salvador is now vulcano-mining #Bitcoin,Friendly reminder that El Salvador is now vulcano-mining ,0.9929643869400024
501,2021-10-01 15:37:10,Mining #Bitcoin using volcanos.  This is unbelievable.,Mining  using volcanos.  This is unbelievable.,0.0023375749588012695
502,2021-10-01 15:36:58,#bitcoin #ethereum #crypto 🚀  https://t.co/LYw02xq2up,   🚀  ,0.00567626953125
510,2021-10-01 15:36:16,The time to buy Bitcoin was 2011. The time to buy ETH was 2016. The time to buy NFTs is now. I don’t get why more people don’t understand this.,The time to buy Bitcoin was 2011. The time to buy ETH was 2016. The time to buy NFTs is now. I don’t get why more people don’t understand this.,0.001960456371307373
511,2021-10-01 15:36:13,"I'm not a TA guy, but #BTC held through major FUD, pessimism and now it's pumping! And ppl still are in Disbelief!  Maybe it's the Disbelief phase then?","I'm not a TA guy, but  held through major FUD, pessimism and now it's pumping! And ppl still are in Disbelief!  Maybe it's the Disbelief phase then?",0.003681182861328125
512,2021-10-01 15:36:07,FRIDAY ANTHEM 🔊  #Bitcoin  https://t.co/Akst5SlPij,FRIDAY ANTHEM 🔊    ,0.005220890045166016
516,2021-10-01 15:35:37,Morning $BTC!!! 🚀🚀🚀  https://t.co/Kq1GeYZvjI,Morning $BTC!!! 🚀🚀🚀  ,0.006409168243408203
518,2021-10-01 15:35:21,You see? $BTC up $700 since this post. 🔥,You see? $BTC up $700 since this post. 🔥,0.010065138339996338
521,2021-10-01 15:34:59,Pierced through resistance!!!  #Bitcoin  https://t.co/TINcYyCOQP,Pierced through resistance!!!    ,0.12798690795898438
523,2021-10-01 15:34:35,"📈💴$1,614,192 #bitcoin LONGED @$44697.9 [01/10/21 07:34:34] 🏭 bybit | $BTCUSD  🗣️Do you even lift bro? - Peter Brandt’s favourite discovery","📈💴$1,614,192  LONGED @$44697.9 [01/10/21 07:34:34] 🏭 bybit | $BTCUSD  🗣️Do you even lift bro? - Peter Brandt’s favourite discovery",0.02049410343170166
526,2021-10-01 15:34:18,When #bitcoin is hitting new all time highs all of these purchases under 50k will feel very nice 😎,When  is hitting new all time highs all of these purchases under 50k will feel very nice 😎,0.9953294992446899
527,2021-10-01 15:34:13,"#Bitcoin real test here! If it breaks out, $55k is the target  https://t.co/3iQK3xzJob"," real test here! If it breaks out, $55k is the target  ",0.0014683008193969727
528,2021-10-01 15:33:54,@bitcoin_brown 🏔️#EverestCoin is ready to break a leg. Don't miss this opportunity join while it's early. #AxieInfinity  will be left behind once #Everest game is launched. Cool #NFTs are in line and a #NFT marketplace ecosystem in making.  🚀  https://t.co/yFCOSGI16b, 🏔️ is ready to break a leg. Don't miss this opportunity join while it's early.   will be left behind once  game is launched. Cool  are in line and a  marketplace ecosystem in making.  🚀  ,0.6722342371940613
530,2021-10-01 15:33:43,"💵$2,129,960 $BTC LONGED @$44741.5 [01/10/21 07:33:43] 🏰Deribit | BTC-PERPETUAL  💬Everything is a lie. - MrVarga_","💵$2,129,960 $BTC LONGED @$44741.5 [01/10/21 07:33:43] 🏰Deribit | BTC-PERPETUAL  💬Everything is a lie. - MrVarga_",0.0011870861053466797
531,2021-10-01 15:33:34,"""Institutions are just beginning to go there, and once that happens, I think it will increase significantly over the years. I’m very bullish."" #bitcoin #cryptocurrency  https://t.co/FItdKwyhUY","""Institutions are just beginning to go there, and once that happens, I think it will increase significantly over the years. I’m very bullish.""    ",0.0017861127853393555
533,2021-10-01 15:33:18,This is what bitcoin looks like in my mind  https://t.co/e9TBTAQbpT,This is what bitcoin looks like in my mind  ,0.006367743015289307
538,2021-10-01 15:32:29,Seems import #Bitcoin  https://t.co/CT0cY8QDKk,Seems import   ,0.003936827182769775
540,2021-10-01 15:32:24,$BTC - Even more bullish momentum going. Longs and spot buys doing really well.  https://t.co/2tqpWUtarz,$BTC - Even more bullish momentum going. Longs and spot buys doing really well.  ,0.9953006505966187
541,2021-10-01 15:32:15,"Good morning all, hope you’re having a great day!   #cryptocurrency #bitcoin","Good morning all, hope you’re having a great day!    ",0.9996441602706909
544,2021-10-01 15:31:04,"The irony is that people who started buying #Bitcoin many years ago are still accumulating, while no-coiners can't stop talking about how they ""missed the ship"". lol  https://t.co/C553xfNqVr","The irony is that people who started buying  many years ago are still accumulating, while no-coiners can't stop talking about how they ""missed the ship"". lol  ",0.06321030855178833
547,2021-10-01 15:30:50,🚨 Crypto alert: [#BTC-#USDT] Abnormal Volatility Alert (15m)  https://t.co/QooHGNnR3u,🚨 Crypto alert: [-] Abnormal Volatility Alert (15m)  ,0.001994311809539795
548,2021-10-01 15:30:48,#Bitcoin  https://t.co/vHQLA53paI,  ,0.003992855548858643
549,2021-10-01 15:30:46,#BTC  4H TF  And here comes the pump. Reaching resistance + 200 EMA.  Flip that area and we will exit that annoying range $BTC  https://t.co/YzvUcSAc6S,  4H TF  And here comes the pump. Reaching resistance + 200 EMA.  Flip that area and we will exit that annoying range $BTC  ,0.0007888078689575195
551,2021-10-01 15:30:33,"$BTC (Update)  Finally, Bitcoin Bulls Breaking the Crucial Resistance (44.2k) with Huge Volume...🥳  Bitcoin Train is Leaving the Station so Fasten Your Seat Belts 🚞  C'mon Bulls, Send Bitcoin to 48k  #Bitcoin #Crypto  https://t.co/iwuaQlfuPm","$BTC (Update)  Finally, Bitcoin Bulls Breaking the Crucial Resistance (44.2k) with Huge V🥳  Bitcoin Train is Leaving the Station so Fasten Your Seat Belts 🚞  C'mon Bulls, Send Bitcoin to 48k     ",0.005859196186065674
552,2021-10-01 15:30:30,It's October!!!! Let's goooooo!!!!  $BTC $TEL $ETH #cryptocurrency #Bitcoin  https://t.co/tdC7iwXTff,It's October!!!! Let's goooooo!!!!  $BTC $TEL $ETH    ,0.00934290885925293
557,2021-10-01 15:30:00,"Dotted green line tagged, triangle invalidated. Looking for a move to at least 47k now. $BTC  https://t.co/fg1WwvcnwB","Dotted green line tagged, triangle invalidated. Looking for a move to at least 47k now. $BTC  ",0.00030231475830078125
559,2021-10-01 15:29:58,So how is the feeling guys ?  October 1st and #Bitcoin showed some positivity .  $44600 now  -- Very important to break $45000 and stay above it so we can start to relax a bit ..  What you feel ? What's Next ?,So how is the feeling guys ?  October 1st and  showed some positivity .  $44600 now  -- Very important to break $45000 and stay above it so we can start to relax a bit ..  What you feel ? What's Next ?,0.0125732421875
560,2021-10-01 15:29:54,Yay everything pump now #BTC  https://t.co/ZKIPRihRQ5,Yay everything pump now   ,0.0033319592475891113
563,2021-10-01 15:29:27," https://t.co/PeD4ZcAvXs  $BTC, $XLM - Updated  https://t.co/lvSbzSvtxB"," $BTC, $XLM - Updated  ",0.002792537212371826
567,2021-10-01 15:29:02,"Good afternoon, #swissborg community☀️ We have new tokens added to Wealth App💕 I’m so happy😆 Also, #BTC looks doing great at this point!! Hope #CHSB will perform a few times better than #BTC😊  https://t.co/2jfeX5KGO3","Good afternoon,  community☀️ We have new tokens added to Wealth App💕 I’m so happy😆 Also,  looks doing great at this point!! Hope  will perform a few times better than 😊  ",0.9990224838256836
568,2021-10-01 15:29:02,$ES continues to sell off. I think it serves as a leading indicator for #BTC.  Pay attention &amp; manage your risk.,$ES continues to sell off. I think it serves as a leading indicator for .  Pay attention &amp; manage your risk.,0.004078030586242676
572,2021-10-01 15:28:35,$5000 in $Btc To A Random Person Just Follows &amp; Retweets  Best Of Luck...,$5000 in $Btc To A Random Person Just Follows &amp; Retweets  Best Of L,0.0028921961784362793
575,2021-10-01 15:28:16,Long from $41.7k price moving towards $45k level which is going to be pivotal.  Break above and successfully retest as support then $48k is the target.  #BTC  https://t.co/rbqHgl3SCp,Long from $41.7k price moving towards $45k level which is going to be pivotal.  Break above and successfully retest as support then $48k is the target.    ,0.72025066614151
576,2021-10-01 15:28:10,"📈💶$6,709,050 $BTC LONGED @$44727.0 [01/10/21 07:28:10] 🏪FTX | BTC-PERP  🗣️Storm is coming! - dreambigtye","📈💶$6,709,050 $BTC LONGED @$44727.0 [01/10/21 07:28:10] 🏪FTX | BTC-PERP  🗣️Storm is coming! - dreambigtye",0.9391487240791321
578,2021-10-01 15:27:58,Bought the rest of my $BTC at $43.8k. Q4 I'm ready for you,Bought the rest of my $BTC at $43.8k. Q4 I'm ready for you,0.015040338039398193
581,2021-10-01 15:27:38,@TheCryptoDog WAGMI  https://t.co/wymJcVPbs0, WAGMI  ,0.0047626495361328125
582,2021-10-01 15:27:33,$BTC 12h candle jumping off the 200 EMA.  $RSR to 50 cents!!!  WAGMI   @themoonb0y @nvnjo21 @Jorge_Reserva  @Crypto_Standard @sweetsinner3 @Flamingo_Mafia @Ayeseltpw @ShillMe  https://t.co/sq6vBP6UcB,$BTC 12h candle jumping off the 200 EMA.  $RSR to 50 cents!!!  WAGMI             ,0.005635976791381836
583,2021-10-01 15:27:30,Market looks a little bit green 💚 #TRX| #BTT| #WIN | #BTC,Market looks a little bit green 💚 | |  | ,0.0031222105026245117
585,2021-10-01 15:27:10,"All markets tanking hard while #BTC appears to be breaking up. If we can keep this up, all eyes will be on BTC soon, would be a nice development going into Q4  https://t.co/W5zdqlN7en","All markets tanking hard while  appears to be breaking up. If we can keep this up, all eyes will be on BTC soon, would be a nice development going into Q4  ",0.0039768218994140625
586,2021-10-01 15:27:07,"Saw this about 5 min ago. Good omen for sure, right? RIGHT???   #uptober #crypto #uponly #trading #btc #eth #vra  https://t.co/G0NIZzSTp5","Saw this about 5 min ago. Good omen for sure, right? RIGHT???           ",0.01434469223022461
589,2021-10-01 15:26:51,Scholar II 58 II @mariablessadp 🔥🔥🎮🎮🔥🔥🎮🎮  Retweet Winner🏆✨  #MortalCoreSquad #AxieInfinity  #PlayToEarn  #Play2Earn  $AXS $SLP $ETH $BTC  https://t.co/9Kqfev3nYS,Scholar II 58 II  🔥🔥🎮🎮🔥🔥🎮🎮  Retweet Winner🏆✨         $AXS $SLP $ETH $BTC  ,0.0034847259521484375
590,2021-10-01 15:26:34,#Bitcoin   Pump it. Half of original long still open.   Will be watching 44.2K for potential add opportunities depending on how price acts around here. Next targets 45.5K and 46.7K.  https://t.co/EnFMPr9vSB,   Pump it. Half of original long still open.   Will be watching 44.2K for potential add opportunities depending on how price acts around here. Next targets 45.5K and 46.7K.  ,0.0053192973136901855
591,2021-10-01 15:26:31,Closed $BTC position Price ; $44450  Profit 55%   Enjoy  https://t.co/JDBZffnfPb,Closed $BTC position Price ; $44450  Profit 55%   Enjoy  ,0.027098000049591064
592,2021-10-01 15:26:20,"🚨 $44.5K 🚨   Had an alert wake me, let’s get $BTC &gt; $45.2K, then smile together…  Night 😴 (going to try and go back to sleep, at least I’ll have sweet dreams)","🚨 $44.5K 🚨   Had an alert wake me, let’s get $BTC &gt; $45.2K, then smile together…  Night 😴 (going to try and go back to sleep, at least I’ll have sweet dreams)",0.04381340742111206
600,2021-10-01 15:25:41,"I ain't even gonna say nothing this weekend.  I did all my talking about $BTC and $ALTS when I should have.  If you listened, enjoy your gains next month while you ride risk-free and scalp with some of your profits. 🍻","I ain't even gonna say nothing this weekend.  I did all my talking about $BTC and $ALTS when I should have.  If you listened, enjoy your gains next month while you ride risk-free and scalp with some of your profits. 🍻",0.196793794631958
601,2021-10-01 15:25:39,SPX down? BTC up  SPX up? BTC up  We are living in the best timeline.,SPX down? BTC up  SPX up? BTC up  We are living in the best timeline.,0.9993985891342163
602,2021-10-01 15:25:37,This is very very interesting and also promising….  A HH or SFP…. Time will tell $BTC  https://t.co/vwo7a4b0Yw,This is very very interesting and also promising….  A HH or SFP…. Time will tell $BTC  ,0.9994186162948608
603,2021-10-01 15:25:36,$BTC $dgb Woody Woodpecker is doing it's magic :)  https://t.co/SuCa06BnmC,$BTC $dgb Woody Woodpecker is doing it's magic :)  ,0.014869511127471924
606,2021-10-01 15:25:18,this bullrun isn't over until $DOGE hits $1 $BTC hits $150k $ETH hits $27k $ADA &amp; $MATIC hits $10 $XRP $13 -$20 $LTC &amp; $BNB $1000 $LINK $300 $TEL &amp; $VRA hits $1 $VRX $5000  $FEG  $KISHU $LLN #SAFEMOON $ASS $SHIB hits 0.0001$   RT 🔥🔥 SPREAD THE WORD  TG  https://t.co/Ed2ocXLbiX,this bullrun isn't over until $DOGE hits $1 $BTC hits $150k $ETH hits $27k $ADA &amp; $MATIC hits $10 $XRP $13 -$20 $LTC &amp; $BNB $1000 $LINK $300 $TEL &amp; $VRA hits $1 $VRX $5000  $FEG  $KISHU $LLN  $ASS $SHIB hits 0.0001$   RT 🔥🔥 SPREAD THE WORD  TG  ,0.0021746158599853516
609,2021-10-01 15:24:46,“Billion dollar Bitcoin mining industry resumes in Iran after three-month ban”  #Bitcoin bans never last long 😆   https://t.co/QgMRYqaImD,“Billion dollar Bitcoin mining industry resumes in Iran after three-month ban”   bans never last long 😆   ,0.008574604988098145
610,2021-10-01 15:24:40,$COPE  No clear direction on many coins right now...  A test of patience at this point.  Don't force trades. Don't panic sell. Let $BTC lead the way!  https://t.co/FZvc2QEZFD,$COPE  No clear direction on many coins right 't force trades. Don't panic sell. Let $BTC lead the way!  ,0.0020651817321777344
615,2021-10-01 15:24:10,LONG EVERYTHING 🚀🔥  #Crypto #Bitcoin #Ethereum,LONG EVERYTHING 🚀🔥    ,0.006363391876220703
617,2021-10-01 15:24:02,"bears feeling some pressure now, bulls starting to feel fomo, so many emotions to control...   $BTC #CTM 8 HR  https://t.co/B8lPiPfygs","bears feeling some pressure now, bulls starting to feel fomo, so many emotions to $BTC  8 HR  ",0.013239145278930664
620,2021-10-01 15:23:53,1st of October. #BTC = Bullish🧑🏼‍🚀🚀.,1st of October.  = Bullish🧑🏼‍🚀🚀.,0.038725316524505615
625,2021-10-01 15:22:29,#bitcoin 44.500 🥳, 44.500 🥳,0.011196434497833252
626,2021-10-01 15:22:13,$BTC SEND IT  https://t.co/c4qkpE8hTI,$BTC SEND IT  ,0.00470501184463501
627,2021-10-01 15:22:11,"A week since the China FUD, bears were dancing on the table, yelling victory and posting 20k charts. Meanwhile, #BTC almost fully retraced that over stretched panic selling and you are still bearish?   NGMI","A week since the China FUD, bears were dancing on the table, yelling victory and posting 20k charts. Meanwhile,  almost fully retraced that over stretched panic selling and you are still bearish?   NGMI",0.013693273067474365
630,2021-10-01 15:21:21,"A politician talking sense?  BRB, going for a spin on my flying pig.  #Bitcoin    https://t.co/eSy2SvtieI","A politician talking sense?  BRB, going for a spin on my flying pig.      ",0.0014823079109191895
632,2021-10-01 15:20:39,BTC resistant around 44300  https://t.co/KZvN1tjz4F,BTC resistant around 44300  ,0.008024156093597412
633,2021-10-01 15:20:28,Ste_Cha_FEG: RT @TheShibLord: $iban still rocketing since my last video   loving it 🤑😍  still so so early  cant sell wont sell  #Fegex #ibancoin @iBANCOIN   📈 https://t.co/FuGxJIPH8M  #FEGcharts #BinanceSmartChain #bitcoin #60SecondShillingShowdown  https://t.co/gH8GJa5BEh,Ste_Cha_FEG: RT : $iban still rocketing since my last video   loving it 🤑😍  still so so early  cant sell wont sell       📈 ://,0.01238793134689331
634,2021-10-01 15:20:14,Just leaving this here... Happy Q4! #bitcoin #crypto #btc $btc  https://t.co/8jIKzjqR9w,Just leaving this !    $btc  ,0.010845601558685303
637,2021-10-01 15:19:39,JUST IN: $BTC SIGNED AGREEMENT ON UPTOBER - SAUSAGES,JUST IN: $BTC SIGNED AGREEMENT ON UPTOBER - SAUSAGES,0.008248984813690186
639,2021-10-01 15:19:14,Goooood Morning #Bitcoin! NEXT $BTC price is.. other                38k                  50k   👇🏼                 👇🏼                  👇🏼,Goooood Morning ! NEXT $BTC price is.. other                38k                  50k   👇🏼                 👇🏼                  👇🏼,0.004589855670928955
640,2021-10-01 15:19:00,$BTC 👀   Has to flip this $44k into support.,$BTC 👀   Has to flip this $44k into support.,0.0036229491233825684
641,2021-10-01 15:18:49,#Bitcoin 🚀, 🚀,0.022050857543945312
644,2021-10-01 15:18:26,You can see the progress every day. This community presents it to the world on a silver plater.  BNB ➡️ BCH ➡️ LTC ➡️ BTC  Next up ETH and ERC20 tokens. It is pretty clear what the outcome will be here...   Decentralized Finance  $RUNE @THORChain #DeFi  https://t.co/YBL4GyalIk,You can see the progress every day. This community presents it to the world on a silver plater.  BNB ➡️ BCH ➡️ LTC ➡️ BTC  Next up ETH and ERC20 tokens. It is pretty clear what the outcome will be $RUNE    ,0.9762247800827026
649,2021-10-01 15:17:27,"Happy new month people 🥳 This month, can we see: $ADA at $3.5 $BTC  at $60k $BNB at $500 $DOGE at $0.45 $EGLD at $350 $ETH at $4k $FEG at $0.000001 $GHC at $0.0000001 $MATIC at $2.5 $SHIB at $0.00001 $XRP at $1.8","Happy new month people 🥳 This month, can we see: $ADA at $3.5 $BTC  at $60k $BNB at $500 $DOGE at $0.45 $EGLD at $350 $ETH at $4k $FEG at $0.000001 $GHC at $0.0000001 $MATIC at $2.5 $SHIB at $0.00001 $XRP at $1.8",0.09358149766921997
655,2021-10-01 15:16:07,"@tomskiweb Be interesting to see if you get the $37,000 on Oct 2nd. Have to say, if ever there was a moment retail was being tricked into thinking btc could break out higher, this is it."," Be interesting to see if you get the $37,000 on Oct 2nd. Have to say, if ever there was a moment retail was being tricked into thinking btc could break out higher, this is it.",0.020107805728912354
656,2021-10-01 15:15:44,#BNB beautifully pumping against #BTC ⚡️, beautifully pumping against  ⚡️,0.9927823543548584
658,2021-10-01 15:15:20,Just done a 5km run.  TPS was 21.27  Im faster than #Bitcoin,Just done a 5km run.  TPS was 21.27  Im faster than ,0.16524899005889893
661,2021-10-01 15:15:06,"#Bitcoin September ends with continued seasonality bringing -7% monthly returns.   Meanwhile, Q3 has ended with 25% returns, paving the way for Q4 which has historically brought high returns.  https://t.co/pcevN7oDRT"," September ends with continued seasonality bringing -7% monthly returns.   Meanwhile, Q3 has ended with 25% returns, paving the way for Q4 which has historically brought high returns.  ",0.9949342608451843
662,2021-10-01 15:14:52,"#Bitcoin $44,000"," $44,000",0.010311007499694824
663,2021-10-01 15:14:46,"It doesn't matter what happens in the short-term, #Bitcoin is the future! 🚀","It doesn't matter what happens in the short-term,  is the future! 🚀",0.024755775928497314
664,2021-10-01 15:14:11,"$BTC (Update)  In 4h timeframe, Bitcoin Bulls testing the Key Trendline Resistance (44k)  If Trendline Resistance got Cleared, Expecting +10% Bullish Wave towards the 48.6k✍️  Send it 🐳  #Bitcoin #Crypto  https://t.co/ZtZJdI5HiA","$BTC (Update)  In 4h timeframe, Bitcoin Bulls testing the Key Trendline Resistance (44k)  If Trendline Resistance got Cleared, Expecting +10% Bullish Wave towards the 48.6k✍️  Send it 🐳     ",0.0021212100982666016
665,2021-10-01 15:14:01,@raphschoen Bitcoin against the banks 👀, Bitcoin against the banks 👀,0.008098065853118896
666,2021-10-01 15:13:54,#btc pushing into key resistance will we see that one last dump before the big ass pump!!   Rektember took 1 week to kick in.  Will Roctober be the same?   Who ever said crypto is boring hey! 🤣  #bitcoin 🧐, pushing into key resistance will we see that one last dump before the big ass pump!!   Rektember took 1 week to kick in.  Will Roctober be the same?   Who ever said crypto is boring hey! 🤣   🧐,0.0005688071250915527
667,2021-10-01 15:13:45,"Wakey Wakey ☀️ September ended Hello October, Hello 4th Quarter.  #BitcoinAsset #Btachain  https://t.co/qzJehIYkb4","Wakey Wakey ☀️ September ended Hello October, Hello 4th Quarter.     ",0.008431613445281982
668,2021-10-01 15:13:18,Bitcoin redemption arc 🧐🧐🧐🧐,Bitcoin redemption arc 🧐🧐🧐🧐,0.01679140329360962
671,2021-10-01 15:13:08,1/2 Building a #bitcoin farm  https://t.co/cgov4lETC5,1/2 Building a  farm  ,0.001862645149230957
675,2021-10-01 15:10:52,$BTC  Here is a Bitcoin count from @elliottwaveintl.  I'll do a Video on it later and tell you how it can all come together and complete what happens after that last Wave 4  https://t.co/DEr4E07ZQp,$BTC  Here is a Bitcoin count from .  I'll do a Video on it later and tell you how it can all come together and complete what happens after that last Wave 4  ,0.003143906593322754
676,2021-10-01 15:10:35,GM Hamsters! 🐹The monthly pivot levels are here for #Bitcoin! Don't forget to turn them on their accuracy is impeccable 🔥✌️ With R5 sitting at 70K this month...🤫  https://t.co/8LoH3WEwGj,GM Hamsters! 🐹The monthly pivot levels are here for ! Don't forget to turn them on their accuracy is impeccable 🔥✌️ With R5 sitting at 70K this 🤫  ,0.9958472847938538
677,2021-10-01 15:10:31,"@nayibbukele 'Vulcano' #Bitcoin mining starting in El Salvador, further enabling sovereignty and funding its electric infrastructure, whilst using 100% renewable energy."," 'Vulcano'  mining starting in El Salvador, further enabling sovereignty and funding its electric infrastructure, whilst using 100% renewable energy.",0.9960641264915466
679,2021-10-01 15:10:22,"📈Market Overview  #BTC price trades above $43K  The Top-10 are traded in green zone: $XRP +0.8%, $BNB +2.2%, $SOL +1.3%  Market cap:  $2.01T (+1.19%)  $BTC dominance:  41.04% (-0.49%) Fear &amp; Greed Index:  27 (Extreme Fear)  Full Report👉 https://t.co/UCKB1qgiCQ  https://t.co/n8YdScTIpD","📈Market Overview   price trades above $43K  The Top-10 are traded in green zone: $XRP +0.8%, $BNB +2.2%, $SOL +1.3%  Market cap:  $2.01T (+1.19%)  $BTC dominance:  41.04% (-0.49%) Fear &amp; Greed Index:  27 (Extreme Fear)  Full Report👉 ://",0.004503726959228516
681,2021-10-01 15:10:05,#IOTAUSD H1.. TP-1✅  #BTC #Bitcoin $iota  https://t.co/JPLn84IgT5, H1.. TP-1✅    $iota  ,0.0035132169723510742
685,2021-10-01 15:08:47,@nayibbukele How do I purchase volcano mined #Bitcoin ? I could pay extra 10% premium for it., How do I purchase volcano mined  ? I could pay extra 10% premium for it.,0.002681910991668701
686,2021-10-01 15:08:41,"As #Bitcoin challenges the $44,000 level once again, watch out for this bullish pattern on smaller timeframes.  Read more: 👇  https://t.co/Bt8PKAuXzE","As  challenges the $44,000 level once again, watch out for this bullish pattern on smaller timeframes.  Read more: 👇  ",0.0025843381881713867
688,2021-10-01 15:08:21,Q4 will be the most interesting #Bitcoin quarter for this year !,Q4 will be the most interesting  quarter for this year !,0.9976963400840759
689,2021-10-01 15:08:19,"$BTC   Reclaiming $44,350 will make me more comfortable of this being the bottom.  Still not out of this downtrend yet.  https://t.co/XhQEnvzIfi","$BTC   Reclaiming $44,350 will make me more comfortable of this being the bottom.  Still not out of this downtrend yet.  ",0.005175948143005371
690,2021-10-01 15:07:43,"It’s a good day, because I stacked some #SATS today!  #Bitcoin makes me happier.🙏","It’s a good day, because I stacked some  today!   makes me happier.🙏",0.9998624324798584
692,2021-10-01 15:07:21,"@nayibbukele I love the tech, the premise and vision of Bitcoin. But most of all, a president setting out to look after his people and actually doing what he said is incredible! Congratulations and setting an example to the world, historical."," I love the tech, the premise and vision of Bitcoin. But most of all, a president setting out to look after his people and actually doing what he said is incredible! Congratulations and setting an example to the world, historical.",0.9998364448547363
693,2021-10-01 15:07:19,Are you ready for Q4? Bitcoin!  https://t.co/pUU0OxynGM via @YouTube,Are you ready for Q4? Bitcoin!  ,0.003529667854309082
694,2021-10-01 15:07:09,"@CryptoMichNL Your chart shows 2021 is already completely different to 2017. Be careful with your assumptions. We all want BTC to go up, but nothing is for sure."," Your chart shows 2021 is already completely different to 2017. Be careful with your assumptions. We all want BTC to go up, but nothing is for sure.",0.008464574813842773
696,2021-10-01 15:06:44,🏆CYBALL CHALLENGE 2🏆  EVENT 2 : BTC price prediction  To enter: Reply with your guess of what price BTC will be at exactly 11.59pm UTC on 3/10/2021 💰  Closest guess by dollar value wins  RT and tag 5 friends  PRIZE :  🥇$1000  🎁 10 x $100   👉🏼 CyBall discord for more details  https://t.co/6kncnAv64m,🏆CYBALL CHALLENGE 2🏆  EVENT 2 : BTC price prediction  To enter: Reply with your guess of what price BTC will be at exactly 11.59pm UTC on 3/10/2021 💰  Closest guess by dollar value wins  RT and tag 5 friends  PRIZE :  🥇$1000  🎁 10 x $100   👉🏼 CyBall discord for more details  ,0.5645818710327148
697,2021-10-01 15:06:39,@nayibbukele Soon your country will become first choice to emigrate. Congratulations 👏 #bitcoin, Soon your country will become first choice to emigrate. Congratulations 👏 ,0.9936985969543457
705,2021-10-01 15:05:44,WE are going to BEAT the system.   #Bitcoin #litecoin $AMP,WE are going to BEAT the system.     $AMP,0.02024710178375244
709,2021-10-01 15:04:34,"Interesting times!  El Salvador has just mined its first #Bitcoin using free and 100% renewable energy from a volcano  So a country with large international remittance inflows side-stepping millions in fees, now generating money from a free source, moving up the global ladder","Interesting times!  El Salvador has just mined its first  using free and 100% renewable energy from a volcano  So a country with large international remittance inflows side-stepping millions in fees, now generating money from a free source, moving up the global ladder",0.47499245405197144
710,2021-10-01 15:04:14,Unused volcanos are waste. #bitcoin,Unused volcanos are waste. ,0.00021761655807495117
711,2021-10-01 15:04:10,"The energy of the earth itself is being used for mining #Bitcoin now, in a country where BTC is legal tender.  It's probably nothing, right?","The energy of the earth itself is being used for mining  now, in a country where BTC is legal tender.  It's probably nothing, right?",0.0003440380096435547
712,2021-10-01 15:04:09,"🔼 ₿1 = $44,035 (07:04 UTC) $BTC prices rise! Change since midnight: +0.61% #Bitcoin $btcusd #btcusd #btc  https://t.co/xSIc5cAPyI","🔼 ₿1 = $44,035 (07:04 UTC) $BTC prices rise! Change since midnight: +0.61%  $btcusd    ",0.009557068347930908
715,2021-10-01 15:03:19,"Lets make it a great month   We started already good, lets go uptober!  Send $fet, $reef $btc $eth $coti 🚀","Lets make it a great month   We started already good, lets go uptober!  Send $fet, $reef $btc $eth $coti 🚀",0.96648770570755
